Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Default
LP1096,Female,No,2,Graduate,No,24886,3744,679,240,0,Urban,1
LP1097,Female,Yes,3,Not Graduate,No,11709,9093,391,240,1,Rural,0
LP1098,Female,Yes,0,Not Graduate,Yes,19215,10231,525,120,1,Semiurban,0
LP1099,Male,No,3,Graduate,Yes,22145,9,112,360,1,Urban,0
LP1100,Male,Yes,2,Not Graduate,Yes,11050,260,409,120,1,Urban,0
LP1101,Female,Yes,0,Not Graduate,No,22999,6038,610,180,1,Semiurban,1
LP1102,Female,Yes,0,Graduate,No,6137,9865,376,120,1,Semiurban,0
LP1103,Female,No,3,Not Graduate,Yes,6354,2219,190,120,0,Urban,1
LP1104,Female,No,2,Graduate,Yes,21061,7041,264,300,1,Rural,0
LP1105,Female,Yes,0,Graduate,No,11820,2060,484,240,1,Urban,1
LP1106,Female,No,3,Not Graduate,No,20064,5287,367,360,0,Semiurban,0
LP1107,Female,No,2,Not Graduate,Yes,6392,11905,81,120,1,Urban,0
LP1108,Female,No,3,Not Graduate,Yes,8543,1619,334,360,1,Semiurban,0
LP1109,Male,No,1,Not Graduate,No,18021,8512,354,120,0,Semiurban,0
LP1110,Female,No,0,Graduate,Yes,24211,1342,478,180,1,Rural,0
LP1111,Male,Yes,1,Not Graduate,Yes,21356,10568,526,120,1,Semiurban,0
LP1112,Female,No,2,Graduate,Yes,23333,2832,335,300,1,Semiurban,1
LP1113,Female,Yes,1,Not Graduate,No,20716,2824,193,240,0,Rural,0
LP1114,Male,Yes,1,Not Graduate,No,21463,1994,473,180,1,Semiurban,0
LP1115,Female,No,2,Not Graduate,No,23855,11150,68,120,1,Rural,0
LP1116,Male,Yes,3,Graduate,No,5664,10230,67,360,1,Rural,0
LP1117,Female,Yes,1,Not Graduate,No,9441,3490,639,180,1,Semiurban,0
LP1118,Female,Yes,3,Not Graduate,No,15888,11869,420,180,0,Semiurban,0
LP1119,Male,No,1,Not Graduate,No,7069,9310,224,120,1,Urban,0
LP1120,Female,No,3,Not Graduate,Yes,5800,7984,243,180,0,Rural,0
LP1121,Male,Yes,2,Graduate,Yes,7769,1604,551,360,0,Urban,0
LP1122,Female,No,1,Not Graduate,Yes,5318,235,162,180,1,Semiurban,0
LP1123,Male,No,2,Graduate,Yes,13515,10161,163,360,1,Urban,0
LP1124,Male,No,1,Graduate,Yes,13734,1908,271,120,1,Rural,0
LP1125,Female,No,2,Graduate,Yes,19790,8567,693,240,1,Urban,0
LP1126,Female,Yes,2,Graduate,Yes,7754,3530,313,180,1,Rural,0
LP1127,Male,Yes,1,Graduate,No,18644,5256,104,240,1,Semiurban,0
LP1128,Female,No,1,Graduate,No,8850,2635,692,360,1,Semiurban,1
LP1129,Female,No,1,Not Graduate,Yes,16683,8162,507,180,1,Rural,0
LP1130,Female,Yes,0,Graduate,Yes,7738,9762,211,300,1,Semiurban,1
LP1131,Male,Yes,3,Graduate,No,7590,2560,429,240,0,Semiurban,0
LP1132,Male,No,0,Graduate,Yes,13137,5415,136,180,1,Semiurban,0
LP1133,Male,Yes,0,Not Graduate,Yes,23915,3391,104,240,1,Semiurban,0
LP1134,Male,No,2,Not Graduate,No,14147,11157,525,180,1,Rural,1
LP1135,Male,No,1,Graduate,Yes,11411,11835,227,120,0,Urban,0
LP1136,Male,Yes,3,Not Graduate,No,9972,5951,440,240,1,Urban,1
LP1137,Male,Yes,2,Graduate,Yes,19771,5468,398,300,1,Semiurban,1
LP1138,Male,No,0,Graduate,No,4766,8007,57,300,1,Urban,0
LP1139,Male,No,1,Not Graduate,No,2166,9064,362,360,1,Urban,0
LP1140,Female,Yes,2,Graduate,No,5688,9444,492,180,0,Semiurban,0
LP1141,Male,No,1,Not Graduate,Yes,18555,6413,377,240,1,Semiurban,0
LP1142,Female,Yes,2,Not Graduate,No,11661,6941,103,360,1,Urban,1
LP1143,Female,No,1,Graduate,Yes,24661,9506,288,240,1,Rural,1
LP1144,Female,Yes,0,Graduate,Yes,12814,4820,278,180,1,Semiurban,0
LP1145,Male,Yes,3,Not Graduate,Yes,23008,2898,628,300,1,Rural,0
LP1146,Male,Yes,0,Graduate,Yes,23469,7546,100,120,1,Urban,1
LP1147,Male,No,3,Graduate,No,14391,77,658,300,1,Semiurban,0
LP1148,Male,No,1,Graduate,No,6277,7577,653,360,1,Rural,1
LP1149,Female,Yes,2,Not Graduate,Yes,5400,10813,313,120,1,Semiurban,0
LP1150,Male,No,0,Not Graduate,Yes,24561,4227,467,360,1,Urban,0
LP1151,Male,Yes,3,Graduate,No,15216,600,145,180,1,Rural,0
LP1152,Male,Yes,0,Not Graduate,Yes,8481,1065,137,120,0,Urban,0
LP1153,Male,No,3,Not Graduate,No,7876,2136,127,360,1,Urban,0
LP1154,Male,No,0,Not Graduate,Yes,18407,10641,337,180,1,Semiurban,0
LP1155,Female,Yes,3,Not Graduate,Yes,20277,10535,169,300,1,Rural,0
LP1156,Male,No,3,Not Graduate,No,20477,10055,540,180,1,Urban,0
LP1157,Female,No,1,Graduate,Yes,11660,9510,501,240,1,Urban,1
LP1158,Male,Yes,3,Graduate,No,15624,11789,549,180,0,Rural,0
LP1159,Female,Yes,1,Graduate,Yes,17782,6943,214,180,1,Urban,0
LP1160,Male,No,3,Not Graduate,Yes,24821,11954,231,240,1,Urban,0
LP1161,Male,Yes,2,Not Graduate,Yes,11988,7804,518,360,1,Rural,0
LP1162,Female,Yes,2,Graduate,No,24074,6565,56,360,1,Rural,0
LP1163,Female,No,2,Not Graduate,Yes,6740,5984,379,180,1,Rural,0
LP1164,Female,Yes,3,Graduate,Yes,11953,5142,200,240,1,Rural,0
LP1165,Male,Yes,1,Graduate,Yes,11978,4670,134,240,0,Semiurban,0
LP1166,Female,No,1,Graduate,Yes,24377,2190,196,300,0,Rural,0
LP1167,Male,No,3,Not Graduate,No,13894,9184,673,360,1,Semiurban,0
LP1168,Male,Yes,2,Not Graduate,No,20762,2712,430,120,1,Semiurban,1
LP1169,Female,Yes,2,Graduate,Yes,22027,2192,597,360,1,Semiurban,0
LP1170,Female,No,1,Graduate,No,21528,1248,334,360,1,Urban,0
LP1171,Male,No,2,Graduate,Yes,5932,11246,131,300,0,Semiurban,0
LP1172,Male,No,0,Graduate,Yes,15068,4033,563,120,0,Semiurban,0
LP1173,Female,No,1,Not Graduate,Yes,15678,1997,572,300,1,Urban,0
LP1174,Female,Yes,2,Not Graduate,No,19160,3687,435,120,1,Urban,0
LP1175,Female,No,1,Graduate,No,23695,10343,520,180,1,Urban,1
LP1176,Male,No,0,Graduate,No,1802,4018,168,120,1,Rural,0
LP1177,Male,Yes,1,Not Graduate,No,18522,11302,445,300,0,Urban,0
LP1178,Male,No,1,Not Graduate,No,1555,1970,581,360,1,Urban,0
LP1179,Male,Yes,1,Graduate,No,14513,8389,310,120,1,Semiurban,0
LP1180,Male,No,1,Graduate,No,10217,5765,305,120,1,Urban,0
LP1181,Male,No,0,Graduate,No,9650,10818,275,240,1,Rural,0
LP1182,Female,No,3,Not Graduate,No,3625,1202,102,360,1,Urban,0
LP1183,Male,Yes,1,Not Graduate,Yes,12979,8135,549,180,0,Rural,1
LP1184,Male,Yes,1,Not Graduate,No,17245,5567,555,300,0,Urban,0
LP1185,Male,No,2,Graduate,No,18248,7667,413,180,1,Urban,0
LP1186,Female,Yes,1,Graduate,No,8309,5742,329,360,1,Urban,0
LP1187,Male,Yes,2,Not Graduate,No,6121,5788,642,120,1,Urban,0
LP1188,Male,Yes,3,Not Graduate,No,16534,5408,207,120,1,Rural,0
LP1189,Female,Yes,0,Graduate,No,15123,10227,681,360,1,Rural,0
LP1190,Male,Yes,0,Not Graduate,No,6626,8669,108,120,1,Semiurban,0
LP1191,Male,Yes,3,Not Graduate,No,6622,9446,177,120,1,Rural,1
LP1192,Male,No,0,Graduate,No,19530,922,164,120,0,Urban,0
LP1193,Male,No,3,Not Graduate,No,18802,419,258,300,1,Semiurban,0
LP1194,Male,Yes,3,Graduate,No,20681,2204,575,300,0,Semiurban,1
LP1195,Female,No,3,Graduate,Yes,24390,10789,570,240,1,Semiurban,0
LP1196,Female,No,0,Graduate,Yes,7370,1120,601,180,1,Urban,0
LP1197,Female,No,2,Graduate,No,3031,11260,286,360,0,Rural,0
LP1198,Male,No,3,Graduate,No,9672,950,330,360,1,Urban,0
LP1199,Male,Yes,1,Graduate,Yes,21229,2336,408,360,1,Semiurban,0
